Patch test for 9Q elements

15   1   1   1

1   1   1   1   0       0       0
2   0   0   1   4       0       0
3   0   0   1   6       2       0
4   1   0   1   0       2       0
5   0   0   1   2       0       0
6   0   0   1   5       1       0
7   0   0   1   3       2       0
8   1   0   1   0       1       0
9   0   0   1   2.5     1       0
10  0   0   1   10      0       0
11  0   0   1   10      2       0
12  0   0   1   7       0       0
13  0   0   1   10      1       0
14  0   0   1   8       2       0
15  0   0   1   7.5     1       0

1   3
10  1   5
11  1   5
13  1   20


10   2   1
1   1e6 0.3
1   1   2   3   4   5   6   7   8   9   1
2   2   10  11  3   12  13  14  6   15   1

